Age,Hours per day,BPM,Anxiety,Depression,Insomnia,OCD,Mental health score,Primary streaming service,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Music effects
18.0,4.0,132.0,7.0,7.0,10.0,2.0,26.0,4,15,1,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,1
61.0,2.5,84.0,9.0,7.0,3.0,3.0,22.0,5,6,1,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,0
18.0,4.0,107.0,7.0,2.0,5.0,9.0,23.0,4,12,0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,0
18.0,5.0,86.0,8.0,8.0,7.0,7.0,30.0,4,6,1,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,0
18.0,3.0,66.0,4.0,8.0,6.0,0.0,18.0,5,15,1,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,0
21.0,1.0,95.0,5.0,3.0,5.0,3.0,16.0,4,7,1,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,0
19.0,6.0,94.0,2.0,0.0,0.0,0.0,2.0,4,14,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0
18.0,1.0,155.0,2.0,2.0,5.0,1.0,10.0,1,12,1,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,0
19.0,8.0,125.0,1.0,0.0,0.0,1.0,2.0,5,2,0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,0
19.0,2.0,88.0,2.0,1.0,2.0,0.0,5.0,4,1,0,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,0
18.0,4.0,148.0,6.0,4.0,7.0,0.0,17.0,4,6,1,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,0
16.0,8.0,103.0,8.0,8.0,4.0,3.0,23.0,4,5,1,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,0
16.0,12.0,120.0,5.0,7.0,10.0,0.0,22.0,4,5,1,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,0
15.0,3.0,120.0,7.0,3.0,0.0,2.0,12.0,4,5,0,0,0,0,0,0,3,1,0,0,0,1,1,2,3,1,0,0
15.0,8.0,120.0,6.0,9.0,3.0,0.0,18.0,0,5,1,1,0,2,1,0,3,2,3,2,1,1,3,1,3,2,2,0
17.0,4.0,125.0,10.0,10.0,2.0,4.0,26.0,4,13,0,0,1,1,0,0,2,0,0,0,1,1,2,0,3,2,0,0
19.0,5.0,118.0,6.0,7.0,5.0,4.0,22.0,1,12,1,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,0
18.0,2.0,79.0,3.0,3.0,8.0,6.0,20.0,4,11,1,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,1
16.0,3.0,84.0,10.0,6.0,8.0,10.0,34.0,2,14,1,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,0
18.0,2.0,169.0,7.0,4.0,2.0,5.0,18.0,4,11,1,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,0
14.0,12.0,136.0,8.0,6.0,10.0,5.0,29.0,4,14,1,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,0
18.0,6.0,101.0,3.0,2.0,1.0,2.0,8.0,5,11,1,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,0
17.0,2.0,126.0,6.0,6.0,4.0,5.0,21.0,4,11,1,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,0
17.0,1.0,183.0,8.0,2.0,1.0,5.0,16.0,0,11,0,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,0
19.0,2.0,120.0,4.0,4.0,4.0,3.0,15.0,4,0,0,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,1
17.0,4.0,142.0,5.0,6.0,6.0,1.0,18.0,4,14,1,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,0
16.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
18.0,5.0,120.0,3.0,2.0,1.0,1.0,7.0,4,11,0,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,0
21.0,4.0,89.0,6.0,8.0,0.0,2.0,16.0,4,11,1,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,0
26.0,0.5,140.0,9.0,8.0,1.0,0.0,18.0,2,14,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,1
20.0,4.0,161.0,7.0,2.0,8.0,6.0,23.0,4,2,0,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,0
23.0,2.0,80.0,4.0,2.0,3.0,4.0,13.0,5,15,0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,0
18.0,5.0,130.0,7.0,6.0,5.0,0.0,18.0,4,14,0,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,0
37.0,0.25,147.0,3.0,2.0,10.0,0.0,15.0,5,15,0,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,1
17.0,3.0,120.0,6.0,6.0,8.0,2.0,22.0,4,0,1,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,0
18.0,4.0,77.0,1.0,0.0,8.0,2.0,11.0,4,10,1,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,1
17.0,1.0,118.0,7.0,3.0,1.0,5.0,16.0,1,3,0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,0
36.0,1.0,132.0,8.0,9.0,3.0,0.0,20.0,4,0,0,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,1
24.0,3.0,115.0,9.0,6.0,4.0,3.0,22.0,4,14,1,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,0
18.0,5.0,157.0,7.0,9.0,5.0,0.0,21.0,4,10,1,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,0
19.0,3.0,90.0,7.0,4.0,2.0,4.0,17.0,4,11,1,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,1
17.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0
16.0,6.0,169.0,7.0,8.0,7.0,5.0,27.0,4,7,1,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,0
23.0,1.0,140.0,10.0,6.0,3.0,10.0,29.0,0,13,1,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,1
23.0,12.0,96.0,3.0,7.0,5.0,5.0,20.0,4,11,1,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,1
22.0,4.0,126.0,8.0,7.0,4.0,3.0,22.0,4,14,1,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,0
18.0,6.0,91.0,8.0,6.0,2.0,10.0,26.0,4,14,0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,1
23.0,7.0,55.0,6.0,4.0,2.0,3.0,15.0,4,3,1,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,0
23.0,1.0,85.0,7.0,0.0,0.0,2.0,9.0,1,15,0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,0
19.0,1.0,160.0,10.0,1.0,0.0,0.0,11.0,5,7,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0
22.0,1.0,108.0,8.0,7.0,0.0,5.0,20.0,3,14,0,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,0
15.0,2.0,156.0,3.0,2.0,6.0,7.0,18.0,2,14,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,0
25.0,2.0,170.0,5.0,5.0,3.0,1.0,14.0,4,10,1,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,1
32.0,5.0,91.0,10.0,10.0,3.0,1.0,24.0,4,14,1,2,0,1,2,0,2,1,1,0,0,3,3,3,1,3,0,2
36.0,6.0,174.0,5.0,4.0,10.0,2.0,21.0,4,10,1,3,0,1,3,0,0,0,2,0,1,3,1,0,0,2,3,0
24.0,3.0,130.0,0.0,0.0,8.0,0.0,8.0,4,14,1,2,2,0,1,0,0,1,0,1,0,3,3,0,0,3,0,1
29.0,4.0,140.0,8.0,8.0,5.0,10.0,31.0,4,5,0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,2,0,0
41.0,3.0,130.0,10.0,7.0,8.0,0.0,25.0,0,10,1,2,0,2,0,0,1,1,0,0,2,2,2,0,1,1,0,0
36.0,2.0,127.0,7.0,3.0,1.0,1.0,12.0,1,14,0,2,1,3,2,1,1,3,0,0,0,3,2,1,1,3,2,0
19.0,3.0,160.0,8.0,7.0,4.0,0.0,19.0,5,14,0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,3,1,0
26.0,2.0,165.0,6.0,3.0,1.0,1.0,11.0,4,5,1,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,0
22.0,0.5,113.0,7.0,7.0,0.0,1.0,15.0,0,5,0,2,0,0,0,0,3,1,0,1,0,0,2,2,3,0,0,1
16.0,5.0,167.0,7.0,7.0,8.0,4.0,26.0,4,6,1,2,1,0,0,1,1,3,3,1,0,0,3,1,3,2,0,0
17.0,5.0,95.0,4.0,1.0,0.0,0.0,5.0,4,10,1,0,2,1,1,0,0,0,0,0,0,3,1,0,0,3,2,0
19.0,10.0,110.0,7.0,2.0,1.0,5.0,15.0,4,12,1,0,1,3,0,0,2,0,3,0,0,0,1,3,1,0,0,0
18.0,2.0,150.0,9.0,0.0,5.0,10.0,24.0,5,2,1,2,1,3,0,1,1,1,0,0,2,0,3,1,2,1,3,0
18.0,4.0,93.0,2.0,7.0,1.0,1.0,11.0,5,5,1,0,0,1,0,0,3,2,2,1,2,0,3,3,3,2,1,0
19.0,5.0,90.0,10.0,8.0,7.0,0.0,25.0,4,14,1,1,0,0,1,0,2,3,0,3,1,2,1,2,1,3,1,0
19.0,3.0,118.0,3.0,0.0,0.0,0.0,3.0,4,6,0,1,0,1,0,0,3,3,1,2,3,0,2,2,2,1,3,0
22.0,2.0,126.0,7.0,8.0,5.0,1.0,21.0,4,7,1,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,1
16.0,2.5,103.0,2.0,1.0,0.0,0.0,3.0,4,14,1,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,0
19.0,3.0,77.0,5.0,4.0,0.0,1.0,10.0,4,12,1,1,0,2,0,0,3,1,3,1,1,1,3,3,3,1,3,0
37.0,1.0,115.0,9.0,10.0,6.0,10.0,35.0,4,14,0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,3,0,1
14.0,7.0,110.0,2.0,0.0,0.0,0.0,2.0,4,6,0,1,0,3,0,0,0,3,0,2,0,0,2,0,0,3,3,0
26.0,1.0,113.0,3.0,2.0,0.0,0.0,5.0,4,12,0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,0,1
32.0,3.0,157.0,2.0,0.0,7.0,0.0,9.0,4,5,0,0,0,1,0,0,3,0,0,2,1,0,2,3,3,1,0,1
30.0,5.0,160.0,7.0,6.0,6.0,2.0,21.0,4,10,0,2,1,0,2,0,1,0,0,0,0,3,2,0,0,3,0,1
43.0,6.0,109.0,5.0,4.0,8.0,3.0,20.0,1,15,1,2,1,3,1,1,1,1,2,1,3,1,2,1,0,2,3,1
24.0,4.0,175.0,4.0,6.0,5.0,3.0,18.0,4,0,1,3,1,1,0,0,1,1,0,0,0,2,3,1,0,3,1,0
36.0,1.0,110.0,6.0,2.0,3.0,1.0,12.0,5,14,0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0
19.0,4.0,162.0,8.0,2.0,1.0,6.0,17.0,5,15,0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,0
22.0,10.0,189.0,9.0,6.0,0.0,6.0,21.0,4,10,1,1,3,0,3,0,0,1,0,0,0,3,1,0,1,2,2,0
20.0,3.0,121.0,0.0,3.0,7.0,0.0,10.0,4,2,1,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0
31.0,2.0,200.0,8.0,9.0,6.0,2.0,25.0,4,14,0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,0
19.0,4.0,105.0,4.0,1.0,1.0,1.0,7.0,4,10,1,2,0,0,0,0,2,2,1,0,0,2,2,1,2,3,1,0
15.0,8.0,193.0,8.0,7.0,5.0,0.0,20.0,4,14,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0
18.0,2.0,149.0,3.0,4.0,6.0,1.0,14.0,4,10,1,0,0,1,0,0,2,0,0,0,0,3,2,0,1,3,1,0
25.0,0.5,140.0,1.0,1.0,3.0,1.0,6.0,1,0,0,3,0,0,0,1,0,2,0,2,0,1,1,1,0,3,2,0
17.0,5.0,134.0,10.0,8.0,6.0,7.0,31.0,0,10,0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,1
28.0,1.0,120.0,6.0,6.0,2.0,0.0,14.0,5,14,0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,1
20.0,3.0,170.0,6.0,7.0,0.0,0.0,13.0,4,14,1,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,0
21.0,2.0,107.0,8.0,4.0,10.0,0.0,22.0,5,10,1,2,1,0,3,0,0,1,0,0,1,3,1,0,1,2,3,1
41.0,3.0,113.0,9.0,7.0,6.0,2.0,24.0,4,11,1,2,0,1,1,1,3,2,1,1,0,1,3,3,2,3,0,1
20.0,2.0,126.0,7.0,4.0,6.0,5.0,22.0,4,11,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,0
34.0,4.0,161.0,6.0,7.0,0.0,0.0,13.0,2,10,1,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,1
23.0,2.0,100.0,6.0,3.0,0.0,1.0,10.0,4,10,1,1,0,0,1,0,0,0,0,0,2,3,1,0,0,2,1,0
16.0,3.0,140.0,7.0,5.0,5.0,3.0,20.0,4,11,0,1,0,0,0,0,2,1,0,1,0,0,3,2,1,0,0,0
19.0,4.0,156.0,7.0,10.0,5.0,0.0,22.0,5,11,0,1,1,1,1,0,2,1,1,0,0,1,3,1,2,2,2,0
22.0,2.0,98.0,8.0,6.0,0.0,0.0,14.0,4,14,1,2,0,0,1,0,2,2,0,2,1,1,3,2,2,3,2,0
19.0,8.0,100.0,4.0,3.0,0.0,0.0,7.0,4,7,1,3,0,1,0,0,2,2,3,0,3,0,3,2,1,1,1,0
23.0,4.0,78.0,7.0,6.0,7.0,5.0,25.0,4,5,1,1,0,2,2,0,3,1,3,2,3,1,3,3,3,2,2,0
23.0,2.0,117.0,7.0,3.0,2.0,3.0,15.0,4,10,1,0,0,1,0,0,1,1,0,0,0,3,0,0,1,2,0,0
22.0,1.0,128.0,2.0,7.0,5.0,0.0,14.0,4,2,0,0,0,3,0,1,2,2,0,0,0,0,3,3,2,2,0,0
17.0,3.0,130.0,7.0,8.0,6.0,5.0,26.0,4,14,0,1,2,2,2,0,1,1,1,0,3,2,3,3,2,3,2,0
28.0,0.5,130.0,4.0,7.0,1.0,0.0,12.0,4,3,0,1,2,0,3,0,1,1,0,0,0,0,2,0,1,3,1,0
19.0,3.0,126.0,5.0,2.0,8.0,6.0,21.0,0,14,1,0,2,2,0,0,3,0,0,0,1,1,1,1,2,3,2,0
17.0,2.0,122.0,10.0,7.0,4.0,2.0,23.0,4,5,1,1,0,2,2,0,3,2,1,1,1,3,1,1,3,3,0,0
21.0,1.0,179.0,6.0,5.0,0.0,0.0,11.0,5,14,0,0,1,0,1,0,2,1,0,0,3,2,1,2,2,3,1,1
29.0,5.0,200.0,7.0,2.0,3.0,1.0,13.0,2,6,1,1,0,0,1,0,0,3,0,1,1,1,0,2,0,3,2,0
22.0,10.0,128.0,4.0,7.0,7.0,3.0,21.0,4,2,1,2,2,3,3,0,0,1,0,0,0,1,0,1,0,2,2,0
18.0,4.0,130.0,4.0,5.0,6.0,5.0,20.0,4,11,1,2,1,2,1,0,1,2,2,2,2,3,3,1,1,3,3,0
13.0,2.0,120.0,7.0,10.0,5.0,6.0,28.0,4,14,0,1,0,2,3,1,2,0,0,0,2,2,3,1,3,3,3,2
24.0,1.0,86.0,6.0,4.0,5.0,0.0,15.0,4,10,0,2,0,1,1,0,1,0,0,0,0,3,2,2,2,3,1,0
35.0,6.0,166.0,4.0,1.0,3.0,1.0,9.0,4,14,1,2,1,2,3,0,1,2,1,1,2,2,2,1,1,3,2,1
29.0,1.0,110.0,6.0,6.0,1.0,2.0,15.0,5,15,0,2,0,0,1,2,0,1,0,0,0,0,2,1,0,2,2,0
28.0,6.0,144.0,10.0,8.0,7.0,1.0,26.0,4,14,0,2,1,0,2,0,1,1,0,1,1,2,2,2,1,3,3,0
32.0,7.0,120.0,10.0,8.0,2.0,8.0,28.0,4,11,1,2,0,1,0,0,2,1,0,0,1,1,3,3,3,3,3,0
32.0,1.0,120.0,3.0,6.0,2.0,0.0,11.0,2,2,0,1,0,3,1,1,2,1,0,1,1,0,2,1,1,1,0,1
21.0,3.0,160.0,8.0,9.0,2.0,0.0,19.0,4,14,0,0,0,0,3,0,2,0,0,0,2,3,1,0,1,3,2,0
18.0,2.0,101.0,8.0,3.0,8.0,7.0,26.0,4,15,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,3,0
19.0,3.0,122.0,3.0,3.0,1.0,2.0,9.0,4,0,0,3,1,0,0,0,0,0,1,0,2,0,3,0,0,1,2,0
25.0,1.5,61.0,6.0,5.0,0.0,2.0,13.0,4,11,0,2,1,1,2,0,1,0,0,0,1,1,3,3,1,3,0,0
17.0,4.0,79.0,3.0,8.0,0.0,0.0,11.0,4,9,1,3,0,0,0,2,2,1,2,0,3,0,3,2,2,1,3,0
16.0,2.0,126.0,1.0,8.0,0.0,0.0,9.0,4,13,1,3,0,0,0,0,3,0,2,0,1,0,3,3,3,0,2,1
27.0,10.0,185.0,5.0,6.0,6.0,3.0,20.0,4,10,1,2,0,2,0,0,2,1,0,0,1,3,3,1,2,3,1,0
53.0,7.0,92.0,0.0,0.0,0.0,0.0,0.0,4,11,1,3,2,3,1,1,2,2,1,2,1,1,3,3,1,3,1,0
25.0,1.0,107.0,0.0,8.0,0.0,0.0,8.0,4,2,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0
34.0,2.0,120.0,3.0,7.0,0.0,0.0,10.0,4,10,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0
22.0,6.0,140.0,8.0,8.0,8.0,5.0,29.0,2,6,1,2,1,3,3,1,3,3,1,2,2,2,3,3,3,2,2,0
17.0,2.0,94.0,5.0,2.0,3.0,4.0,14.0,4,6,0,2,0,0,0,0,1,2,0,0,1,2,3,0,1,3,1,0
26.0,3.0,160.0,8.0,8.0,3.0,0.0,19.0,4,3,0,1,1,0,3,1,1,2,0,0,1,1,2,2,1,2,2,0
19.0,8.0,174.0,6.0,8.0,8.0,0.0,22.0,4,2,0,0,0,3,0,0,2,0,1,0,0,1,2,2,2,2,0,0
21.0,3.0,136.0,6.0,8.0,6.0,0.0,20.0,4,11,1,1,3,2,1,0,3,1,0,3,2,1,3,3,3,2,2,2
32.0,3.0,144.0,6.0,6.0,7.0,5.0,24.0,4,14,1,1,1,2,3,0,2,1,0,2,3,1,2,3,1,3,1,0
21.0,3.0,77.0,9.0,10.0,3.0,0.0,22.0,1,14,0,0,0,0,2,2,2,2,0,1,0,1,1,1,2,3,3,1
25.0,2.0,120.0,7.0,7.0,5.0,0.0,19.0,4,11,0,1,0,0,1,0,2,0,0,2,0,0,3,2,3,3,1,0
28.0,4.0,194.0,6.0,8.0,1.0,6.0,21.0,1,14,1,1,2,1,1,0,2,2,1,0,0,2,2,1,1,3,2,0
41.0,4.0,60.0,7.0,2.0,0.0,7.0,16.0,5,11,0,1,0,2,3,0,3,2,1,1,2,1,3,3,2,3,1,0
18.0,1.0,190.0,6.0,9.0,9.0,0.0,24.0,4,10,1,1,0,1,0,0,2,0,0,0,0,3,1,0,2,3,2,0
22.0,2.0,87.0,1.0,1.0,4.0,1.0,7.0,4,12,1,2,0,0,0,0,1,0,3,3,2,0,2,3,1,1,2,1
49.0,1.0,156.0,8.0,8.0,2.0,0.0,18.0,2,2,0,2,0,3,2,0,2,1,1,1,2,2,2,1,1,3,2,0
21.0,3.0,150.0,3.0,3.0,7.0,0.0,13.0,4,10,0,2,1,1,2,0,1,1,1,0,2,3,3,1,2,3,2,1
27.0,10.0,194.0,8.0,8.0,3.0,0.0,19.0,4,10,1,0,1,2,2,0,2,1,1,1,2,3,3,2,2,3,2,0
19.0,1.0,160.0,6.0,4.0,0.0,3.0,13.0,4,10,1,0,0,0,0,0,1,0,0,0,2,3,2,1,1,3,0,1
